permno,car,event_date,PQS,VOL,EXCH
78987,-0.092,20070907,0.027988738,-0.047514051,Q
79089,0.017,20120404,-0.228471769,0.303098739,Q
79103,-0.203,20090327,-0.263038721,-0.244405569,Q
79108,0.082,20000621,-0.574590211,0.22097298,Q
79212,0.013,20041229,-0.283986335,0.284697055,N
79265,0.047,20090102,0.117832252,0.324322507,Q
79411,0.01,20121005,-0.133197354,0.101277368,Q
79545,-0.026,20111219,-0.388125523,-0.199634175,N
79588,-0.004,20140324,0.050711068,-0.328271066,Q
79637,-0.029,20140922,0.231333478,0.169150909,N
79678,0.052,20150831,-0.271055308,0.415108805,Q
79698,0.03,20170405,-0.240557979,-0.183229499,N
79718,-0.017,20000629,-0.426076927,0.000993409,Q
79879,0.42,20000727,-0.255378557,-0.004999838,Q
79881,-0.029,20100208,-0.245657964,0.033630345,Q
79906,0.147,20170228,-0.182954042,0.545821051,Q
79915,-0.075,20101220,-0.349234995,0.480140039,N
80055,0.13,20000403,0.318358916,0.428211673,Q
80191,-0.038,20160701,-0.165773524,-0.110168625,N
80204,-0.035,20140702,-0.136629785,0.185906064,N
80266,0.112,20001212,0.245344111,0.973076207,Q
80286,-0.134,20140124,-0.277493396,0.110868359,Q
80303,-0.181,20080701,-0.104140347,1.186858057,N
80515,0,20020201,0.044128346,0.059796722,Q
80539,-0.187,20180319,-0.110896312,0.554970089,Q
80913,0.075,20040402,0.074801183,-0.150840078,N
81138,-0.111,20020515,-0.260053804,0.96075435,Q
81262,-0.027,20040325,0.289748387,-0.308634674,N
81285,0.045,20020513,-0.57820512,0.086866664,N
81481,-0.026,20111219,-0.182858106,-0.226534021,Q
81540,0.465,20010830,-0.053924279,0.851082286,N
81696,-0.023,20170313,-0.222400678,0.306029855,Q
81736,-0.056,20170726,-0.193192933,-0.201384908,N
81776,-0.084,20070531,1.119051863,-0.115016155,N
81857,-0.09,20080129,0.96280406,0.603332597,N
82196,-0.002,20090402,-0.345623461,-0.288525844,N
82298,-0.017,20090226,-0.31353161,-0.056649831,N
82307,0.123,20080731,0.960239467,0.485453214,N
82581,-0.011,20150318,-0.239416409,0.146355326,Q
82618,0.01,20060420,0.897477611,-0.199116212,Q
82642,0.046,20060105,-0.336508548,-0.161195692,N
82651,-0.021,20020102,1.433697716,1.451067338,N
83111,0.012,20120525,0.172872249,0.188389363,Q
83143,0.129,20090106,-0.037693844,0.432425477,N
83413,0.559,20000505,-0.587299105,-0.232872474,Q
83421,-0.032,20060403,-0.369698706,0.349174006,N
83443,0.024,20100216,-0.563356575,1.754922383,N
83621,-0.082,20170619,-0.12042539,-0.135076052,Q
83630,0.308,20001106,0.69948026,-0.136068928,Q
83693,0.093,20000505,-0.643382786,-0.089692569,Q
83699,-0.076,20071029,-0.139393071,0.158634614,N
83862,-0.049,20040401,-0.182827679,-0.245943568,N
83906,-0.018,20081119,-0.396478479,0.25098649,Q
83976,-0.019,20070329,-0.052686625,-0.044425457,N
83981,-0.091,20001201,1.144916651,1.178740846,N
84032,0.072,20050314,-0.000465171,0.305212685,N
84036,-0.143,20000316,0.138091465,3.2161643,N
84129,0.041,20010625,-0.00623361,0.084067523,Q
84176,0.067,20051220,-0.160550401,0.482201099,N
84342,0.035,20010604,-0.114869987,0.043921584,Q
84372,0.046,20000103,-0.339987881,0.163503114,N
84373,0.051,20021212,-0.148812871,-0.206967957,N
84519,-0.588,20010830,0.531396879,0.21222954,Q
84761,-0.102,20180319,0.033239411,0.073892134,Q
84769,-0.155,20080930,2.116692514,0.811251508,N
84788,0.086,20051121,9.334919982,0.204232405,Q
85032,0.051,20000706,-0.381823279,0.232756354,N
85035,-0.067,20150612,0.285802083,0.479771588,Q
85072,-0.022,20070202,0.072748478,-0.012749757,N
85257,-0.01,20130923,-0.146155156,0.041061431,N
85269,0.122,20040429,-0.101971388,0.243270871,N
85271,-0.016,20070709,0.304711804,0.776230563,Q
85459,0.01,20070302,-0.030778365,-0.289874903,Q
85516,0.065,20001023,0.211390347,0.357531524,Q
85522,0.122,20010102,2.66900814,0.201470926,Q
85593,0.016,20140701,-0.179855367,-0.227986261,N
85599,0.103,20000717,-0.215643444,0.535289905,N
85621,-0.022,20160906,-0.432464079,0.388587575,N
85663,-0.07,20140922,0.12978887,0.909498065,N
