gvkey,year,leverage,mtbe,own
14952,1993,.03648938,1.179879419,.012497024
14466,1993,.045267093,2.799686192,.021350954
13700,1993,.188957342,5.155361532,.040625244
3734,1993,.182538483,3.675879711,.0011210366
13644,1993,.550445128,-4.931483268737793,.077978894
1254,1993,.327847833,2.114641077,.0028185465
4087,1993,.176261031,2.973991654,.00069383631
13902,1993,0,5.855100436,.068381019
14084,1993,.318299716,2.337779893,.002549943
4194,1993,.337170972,5.540625,.000080020371
13941,1993,0,2.37446689,.098601386
4503,1993,.101087409,2.253427512,.000060739938
14264,1993,.005327879,2.095174857,.019180622
14244,1993,.8373021040000001,20.52038764953613,.037330624
14565,1993,0,16.36143521,.10820028
14650,1993,0,6.348610224,.0056270976
2226,1993,0,3.960840965,.00009063934
3138,1993,.669841422,11.44928955,.00026899076
3226,1993,.841285935,-4.931483268737793,.010447816
14881,1993,.269279393,1.095835532,.000019462825
4941,1993,.505232747,1.368755328,.0073518273
14960,1993,.491374893,8.577427202000001,.0016518979
5073,1993,.18312718,7.064838624,.000055548844
14630,1993,.208611892,5.367164507,.037801709
5087,1993,.156250485,3.098741446,.0010122526
5229,1993,.206152803,1.314365211,.0042372094
14918,1993,0,11.02259218,.28139859
14897,1993,0,9.184351420000001,.037039559
5686,1993,.168732219,5.870748616,.0012759853
5959,1993,.093068178,2.982951679,.00065138185
5968,1993,.22617731,3.11585823,.0010437608
6066,1993,.187947678,1.761586797,.000052385163
6081,1993,.235968379,3.823140802,.00049813255
16645,1993,.073537069,1.321129353,.084994875
5905,1993,.243192771,1.844492954,.000096137337
5860,1993,.135501701,1.415229716,.0035967797
6335,1993,.404903495,3.967057235,.0053876787
6307,1993,.225491316,1.621849646,.00040538027
1468,1993,.034631883,1.961253799,2.4998285e-06
7127,1993,.320681818,2.695660621,.0033286463
7139,1993,.293458428,3.273725632,.0009936376
8123,1993,.232642487,1.730571101,.0059190663
8264,1993,.342092885,1.776699644,.00005668521
8470,1993,.29904523,1.766220636,.0010570025
8543,1993,.293350259,4.196111368,.00013668223
8551,1993,.306313776,3.792937775,.0018774224
