yyyymmdd,yyyy,deal_value,public,private,tender_offer,all_stock,carbidder,bidder_size,sigma_bidder,run_up_bidder,hostile,horz,relsize,bidder_mtb,bidder_fcf,bidder_lev
20140728,2014,2779.3301,1,0,0,1,0.0083205,4095541,0.033931799,1.261371,0,0,0.48828709,5.3623953,-0.020479785,0
20140724,2014,20.6,0,1,0,0,-0.0306086,1505248,0.019669799,1.192276,0,0,0.012818918,3.7209144,0.062069677,0
20140724,2014,7,0,1,0,0,0.042976599,99073.063,0.020689899,1.093417,0,0,0.078651689,4.8838434,0.17972982,0
20140724,2014,1458.55,1,0,0,1,-0.048876099,2493214,0.0097915,1.155499,0,1,0.55248106,1.1034482,-0.01040707,0.45032126
20140716,2014,98,0,1,0,0,0.011959,2566945,0.024518101,1.891438,0,1,0.033561643,2.7549353,0.087156221,0.42614895
20140714,2014,30.67,0,1,0,0,0.1053717,20969.119,0.037542,0.76888341,0,0,1.2779167,1.3913606,-0.065213442,0
20140713,2014,3886.21,1,0,0,0,0.1151667,3171965,0.014636,0.91642582,0,1,0.79213411,1.1731455,0.042924847,0.19222246
20140713,2014,3752.49,1,0,0,1,0.049185,8537472,0.020212,1.2613029,0,0,0.3978467,1.3976628,0.041433662,0.3004294
20140711,2014,115.4,0,1,0,0,-0.009509,295402.19,0.0187835,1.165046,0,1,0.74451613,1.3322178,-0.081531115,0.34217104
20140711,2014,25052.41,1,0,0,0,0.0084183,30900000,0.0115371,1.120307,0,1,0.78220338,2.4108732,0.11154395,0.33106089
20140711,2014,390,0,1,0,0,0.0006291,32600000,0.0216398,0.98871332,0,0,0.011695555,4.7030158,-0.025366195,0.14663075
20140707,2014,486.13,1,0,0,0,-0.029594701,8252209,0.023599301,1.376058,0,0,0.050225232,1.8900419,0.027955104,0.16143356
20140707,2014,78.5,0,1,0,0,-0.011246,1671922,0.0310662,0.99807352,0,0,0.044051629,4.5918026,0.012368238,0.27405176
20140702,2014,277.35999,1,0,1,0,0.0167362,23800000,0.0115573,1.080162,0,0,0.011808583,1.4424303,0.052286465,0.32966772
20140701,2014,10.38,0,1,0,0,0.041896801,29560,0.0209169,0.88131022,0,1,0.37071428,0.75684381,0.060573619,0.12965572
20140630,2014,225.92,1,0,0,1,0.0262141,802497.13,0.0123656,1.092016,0,1,0.27856967,1.3654859,0.017147979,0.69368732
20140627,2014,213,0,1,0,0,0.044252198,3138500,0.0192494,0.84856671,0,0,0.0762894,1.5178014,0.050578874,0.26216435
20140625,2014,226.22,1,0,0,0,0.004588,2207262,0.0109387,0.86896002,0,0,0.10507199,1.5520024,0.047710843,0.092001349
20140623,2014,5327.7002,1,0,1,0,-0.045645099,177000000,0.01183,1.126442,0,0,0.028347576,2.5573728,0.12234349,0.25089657
20140623,2014,9046.96,1,0,0,0,-0.019655099,10800000,0.0090474,0.96229291,0,1,0.88887405,1.3458712,0.039094344,0.2954216
20140623,2014,308.76999,1,0,1,0,-0.0148691,16100000,0.0192913,1.664636,0,1,0.017386677,3.4687006,0.16163982,0.000292826
20140620,2014,20,0,1,0,0,0.017857401,754361.81,0.018743601,1.145804,0,0,0.021164021,1.7266825,0.088766932,0.098070204
20140617,2014,350,0,1,0,0,0.26927349,5163411,0.0478612,1.234093,0,0,0.079545453,2.6207433,-0.054015364,0.22210908
20140616,2014,7262.0898,1,0,0,0,0.0255589,8833149,0.022559799,1.636819,0,1,0.69394076,1.4950755,-0.008466677,0.64711821
20140616,2014,1289.6801,1,0,1,0,0.0568792,17100000,0.017144701,1.459985,0,1,0.062102377,1.8508338,0.099407487,0.18928559
20140616,2014,35,0,1,0,0,0.0469389,1439637,0.018213701,0.8568818,0,1,0.022307202,3.229147,0.043124214,0.19211446
20140615,2014,42729.871,1,0,0,0,0.0195085,58100000,0.0097834,0.98705852,0,0,0.70699167,2.0362418,0.080779061,0.27185515
20140615,2014,8014.7798,1,0,0,1,-0.0243182,10900000,0.0118952,1.212009,0,1,0.24139449,2.2706094,0.043088265,0.41094869
20140613,2014,2555.46,1,0,1,0,-0.043108702,61000000,0.017059701,1.177567,0,1,0.042859588,6.1265812,0.18122508,0.16679148
20140610,2014,76.339996,0,1,0,0,0.0136623,541254.19,0.0253633,0.70382392,0,0,0.15516259,3.7239907,0.2359634,0
20140609,2014,3828.1599,1,0,1,0,0.0080455,162000000,0.0108396,1.0613559,0,1,0.023692334,1.915876,0.042756401,0.19441526
20140604,2014,1.6,0,1,0,0,-0.006084,58202.34,0.0299366,1.710395,0,0,0.024242425,1.6152061,0.074523643,0.050366737
20140602,2014,22.799999,0,1,0,0,-0.047738001,358710,0.031348899,0.74043548,0,1,0.072380953,2.6166806,-0.26097527,0.021561107
20140529,2014,7726.8501,1,0,1,0,0.0253335,11700000,0.0171494,1.3117959,0,0,0.52293247,1.2896707,0.069639482,0.15562126
20140527,2014,132.82001,0,1,0,0,0.042699099,2005135,0.0145338,0.83018762,0,0,0.067013122,2.2075238,0.11159755,0
20140527,2014,130,0,1,0,0,0.021426599,1038293,0.021044699,0.77235037,0,1,0.14590348,1.9930396,-0.04146317,0.48355669
20140527,2014,230,0,1,0,0,-0.027022,1211153,0.0251261,1.010075,0,0,0.26166099,4.871623,-0.001703836,0
20140522,2014,195.27,0,1,0,0,0.050740398,3552654,0.017527699,0.98964792,0,0,0.057686854,2.0359426,0.062346667,0.094620638
20140515,2014,42.700001,1,0,0,1,-0.044618201,710709.19,0.018847501,1.273349,0,1,0.05997191,1.4690617,0.006567443,0.5308677
20140515,2014,721.09998,1,0,0,0,0.080074698,1197002,0.019315399,1.6191061,0,0,0.5389387,0.99659395,-0.011356687,0.40026444
20140514,2014,100,0,1,0,0,-0.0577094,898072.38,0.0153395,1.088975,0,0,0.11261261,1.3808234,0.060951319,0.062677711
20140512,2014,1.3,0,1,0,1,0.20008481,7286.9702,0.0478241,0.81952941,0,1,0.21666665,2.4554675,-1.1932774,0
20140506,2014,101,0,1,0,0,-0.20251191,3539631,0.0234614,1.012972,0,0,0.029802302,1.4777783,0.030368036,0.018837567
20140506,2014,44.380001,0,1,0,0,-0.0602162,535735.81,0.024926201,0.92781049,0,1,0.089475811,4.3130088,-0.083563447,0.042439628
20140501,2014,124.7,0,1,0,0,0.017744999,2016589,0.0126202,1.006649,0,0,0.068328768,2.3527143,0.042157684,0.74676675
20140501,2014,65,0,1,0,0,-0.052588802,302136.41,0.036673699,1.1060719,0,0,0.24904214,0.95152819,-0.037253756,0.22787948
20140430,2014,15.25,0,1,0,0,0.1034376,405086,0.039501101,1.486686,0,0,0.042011019,3.9630942,-0.22881015,0
20140429,2014,461.70999,1,0,1,0,0.059652898,1227042,0.02816,0.97805941,0,1,0.36672756,1.8191965,0.14917129,0
20140428,2014,1436.41,1,0,0,0,-0.025764899,26900000,0.027469501,1.8242429,0,1,0.057451807,2.5778964,0.013755737,0.24963531
20140428,2014,1787.3199,1,0,0,0,-0.0222126,18200000,0.0098359,0.99708521,0,0,0.1048466,1.1732538,0.016818453,0.37643588
20140419,2014,10,0,1,0,0,0.088879801,598697.13,0.023519401,1.411081,0,1,0.016638935,1.7313321,-0.030804779,0.15122932
20140417,2014,53.400002,0,1,0,0,0.0160305,2847712,0.016256699,1.16136,0,0,0.016692717,2.4922767,0.11419081,0
20140401,2014,46,0,1,0,0,0.097572602,678984.63,0.029908599,1.761845,0,1,0.058524173,6.8425765,-0.14816102,0.14162961
20140321,2014,1537.46,1,0,0,0,0.072141297,1663538,0.039387599,1.836921,0,0,1.0290897,1.6576884,0.002266094,0.47202775
20140320,2014,9.2600002,0,1,0,0,0.0538291,50784.66,0.026160499,1.267915,0,1,0.1889796,2.2627544,0.051811691,0
20140318,2014,1.78,0,1,0,1,0.27245751,27786.221,0.034497201,0.37737209,0,1,0.068461537,2.4836295,-0.61516958,0
20140314,2014,4.0999999,0,1,0,0,0.041811202,66244.32,0.0295479,1.293251,0,0,0.066129029,1.8462715,0.006368966,0.007575209
20140313,2014,5.5300002,1,0,0,1,0.2150777,12246.63,0.069784202,0.68140662,0,1,0.79000002,0.91170305,-0.22050554,0
