"","permno","car","event_date","PQS","VOL","EXCH"
"77",44206,-0.102,20090317,-0.261509041350966,0.159953644436659,"N"
"78",45277,-0.01,20010904,0.105218752772636,0.0977755198831893,"N"
"79",45794,0.025,20061002,-0.189198528065686,-0.0632253134441235,"N"
"80",45911,0.029,20150312,-0.0821290341706501,0.174842200350936,"Q"
"81",48486,-0.029,20120605,0.0188409526608553,0.0331717990421392,"Q"
"82",50017,0.246,20071221,-0.514403222917072,0.89050584846107,"N"
"83",51263,-0.032,20071116,-0.136526018693513,0.765699253911754,"N"
"84",51596,0.104,20001212,-0.309318782078992,1.24937383597714,"N"
"85",51706,-0.02,20020211,-0.210263582429405,0.139183299699842,"N"
"86",52090,0.032,20030321,0.0105871401341671,-0.0156985871271587,"N"
"87",52230,-0.254,20001205,5.11494056699539,0.583404571041468,"N"
